epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,6400.83,0.31431,0.20816,0.78369,0.99833,0.99844,0.99464,0.98035,0.23213,0.16831,0.77881,0.0002476,0.0002476,0.0002476
78,6480.02,0.31347,0.20828,0.78381,0.99841,0.9983,0.99464,0.98042,0.23215,0.16849,0.77889,0.0002377,0.0002377,0.0002377
79,6559.01,0.31251,0.20739,0.78385,0.9982,0.9982,0.99462,0.98052,0.23207,0.16809,0.77885,0.0002278,0.0002278,0.0002278
80,6638.01,0.30963,0.20622,0.78359,0.99836,0.99851,0.99462,0.98059,0.22974,0.16686,0.77863,0.0002179,0.0002179,0.0002179
81,6716.97,0.30684,0.20527,0.78321,0.99837,0.99857,0.99463,0.98056,0.23001,0.16693,0.77867,0.000208,0.000208,0.000208
82,6795.97,0.30745,0.20552,0.78274,0.99864,0.99848,0.99464,0.98052,0.22932,0.16636,0.77862,0.0001981,0.0001981,0.0001981
83,6875.09,0.30539,0.2045,0.78297,0.9986,0.99844,0.99464,0.98108,0.2287,0.16609,0.7786,0.0001882,0.0001882,0.0001882
84,6954.27,0.30457,0.20385,0.78282,0.99838,0.99837,0.99464,0.98153,0.22777,0.16605,0.77847,0.0001783,0.0001783,0.0001783
85,7033.54,0.30178,0.20282,0.78248,0.99844,0.99834,0.99464,0.9815,0.2278,0.16603,0.77849,0.0001684,0.0001684,0.0001684
86,7112.6,0.30053,0.20255,0.78261,0.99848,0.99837,0.99463,0.98163,0.22758,0.16573,0.77852,0.0001585,0.0001585,0.0001585
87,7191.7,0.29944,0.20158,0.78221,0.99847,0.99835,0.99463,0.98178,0.22735,0.16562,0.77849,0.0001486,0.0001486,0.0001486
88,7270.68,0.29683,0.19996,0.78231,0.99865,0.99848,0.99464,0.98179,0.2268,0.16494,0.77847,0.0001387,0.0001387,0.0001387
89,7349.74,0.29631,0.20005,0.78288,0.99869,0.99845,0.99464,0.98184,0.22649,0.16476,0.77845,0.0001288,0.0001288,0.0001288
90,7428.94,0.29241,0.19853,0.7825,0.99865,0.9985,0.99463,0.98187,0.22622,0.16461,0.77843,0.0001189,0.0001189,0.0001189
91,7524.39,0.24624,0.1769,0.77438,0.9987,0.99847,0.99463,0.98193,0.22562,0.16435,0.77835,0.000109,0.000109,0.000109
92,7600.58,0.24339,0.17522,0.77386,0.99871,0.99843,0.99465,0.98244,0.22452,0.16383,0.77827,9.91e-05,9.91e-05,9.91e-05
93,7676.65,0.24182,0.17479,0.77404,0.99868,0.99842,0.99465,0.98247,0.22397,0.16349,0.77827,8.92e-05,8.92e-05,8.92e-05
94,7752.76,0.24047,0.1738,0.77341,0.99867,0.99841,0.99465,0.9825,0.22366,0.16337,0.7783,7.93e-05,7.93e-05,7.93e-05
95,7828.84,0.23629,0.17232,0.7735,0.99868,0.99837,0.99466,0.98253,0.22299,0.1631,0.77829,6.94e-05,6.94e-05,6.94e-05
96,7904.89,0.23535,0.17179,0.7735,0.99851,0.99857,0.99466,0.9826,0.22225,0.16267,0.77826,5.95e-05,5.95e-05,5.95e-05
97,7981.03,0.23487,0.17156,0.77363,0.99848,0.99862,0.99466,0.98262,0.22186,0.16237,0.77827,4.96e-05,4.96e-05,4.96e-05
98,8057.14,0.23166,0.17038,0.77339,0.99851,0.99856,0.99466,0.98264,0.22127,0.16208,0.77823,3.97e-05,3.97e-05,3.97e-05
99,8133.17,0.22971,0.16956,0.77311,0.9985,0.99858,0.99467,0.98268,0.22099,0.16184,0.77823,2.98e-05,2.98e-05,2.98e-05
100,8209.26,0.22863,0.16902,0.77329,0.99848,0.99864,0.99468,0.98272,0.2205,0.16163,0.77819,1.99e-05,1.99e-05,1.99e-05
